Hoare,Lomuto
2939088653,4024841882
3377825528,4545404264
3504408615,4922214984
3729162273,4993098101
3766996693,5582794039
3797933000,4552999688
3688193126,4689614111
3395405881,4342967488
3158174868,4073356214
3544783302,4069737593
3045185010,4213032464
2860999953,3989490123
3088143410,4253466164
3183542693,4344285377
3272795345,4376197011
2721282006,2372093045
2615255122,1964500113
2791258719,2953861927
2753928243,3090131249
3426650178,3679173605
3063688088,3625997517
3105206761,3763738500
3231325350,3831878249
3559695576,3911086690
3915333154,4254189417
3525919194,4116734264
3123137778,3609729406
3027744607,3832383992
3059940143,3948789267
2857993743,3854616737
3072570273,3591020624
5331587272,2739993567
5218793618,2675950534
5367036775,2690302276
5577442932,2880214475
5279992190,2896758252
5183616726,2577203522
5298623664,2680502584
5312269888,2653090394
5130427659,2627280750
5043570831,2527118944
5414551406,2568241457
5003846949,2521210034
4964730329,2530069102
4779389059,2504750568
4969889639,2587057130
4981341932,2900710240
3330999382,4294919590
3306618583,4451741500
3631091310,4516416338
3756140375,4471863594
3576464698,4702955849
3534600277,4436239545
3583238738,4143178555
3525835573,4342478906
3567935819,4229755938
3571166866,4410915213
3493961349,4002796828
3441169479,4350869837
3459761106,4120963294
3494710245,3992404761
3453858950,3957249146
3730769016,4394752784
3251774476,4209492579
3324527536,3916352015
3213915972,3563146054
3239116722,3886333074
3218507700,3621188746
3511606796,3943393235
3778902178,4279147084
3877844519,4359526401
3567655574,4458923694
4011388571,4310594252
4090370387,4845421858
4316356837,4940492837
3990177864,4931636586
3587522981,4455492062
3272214502,3892237406
4163052233,3633536032
4196670089,3778313828
4167874800,3746589005
4351543977,3950849620
4333586244,3884371939
4196944464,3691788869
4251262868,3593773620
4118134568,3567358008
4087642529,3849844211
3896359689,3645088849
4131197267,3744436672
3984269921,3742594799
3974293409,3624727896
3786405699,3428685553
3929668251,3580902536
4188876974,4184594198
2829399369,2346306404
3512226984,2063634201
3045702364,2162592845
3786506462,2679910302
4157239808,2909325588
4124412857,2773249068
4163497765,2695080564
3668238448,2726937132
4493053921,3151541732
4325502418,3372478312
3729379080,3597817441
3629184253,3388874012
4122101224,3374821807
3882050844,3157735551
3538167346,2631519376
3990493845,2825193437
3941146697,2889593355
4440840627,3341518635
4420477435,3955579868
4985489227,4062820373
4692718316,4244497078
4658121915,4056493180
4517213982,3770087246
4136629336,3530515368
4076137629,3419724443
3953267092,3489162816
3886597096,3560345740
3776646952,3221387991
3810853298,3468202758
3951609653,3589184527
4113811051,3448139735
3837000734,3270622569
3890214239,2978006487
3813711749,3068071765
4141697395,3000558588
4597991896,2968858449
4647674515,3516934174
4940517805,3325081555
4858139930,3065567015
5384938660,3147140391
5426398129,3422401741
5302594615,3651402307
4797708606,3816924816
4307773321,3108901125
4164089962,3068414306
3891423441,2497565530
4749771049,3076485996
4782427918,3044695135
4949632484,3438219429
4801313299,3338683615
4663863537,3098224792
4741253250,3200332603
4634365302,3003033677
4495969646,3335303904
4400828144,2959965209
4506864014,3038796523
4299362732,3342006102
4356786291,3276483093
4163567837,3137051212
4495840528,3345628797
4327417006,3535690232
3939132982,3268021129
2919832030,2285981839
3750327724,2124947084
3562563417,2180637396
3826383658,2267183149
4202937877,2691395673
4254837443,2808897468
4238739051,2567687222
4017238401,2781492955
4824034334,2799586396
5125745897,2980282510
4420890041,2921376304
4460369261,2811673272
4254032010,2557927640
4291345081,2659406054
4120641046,2526013578
4361970221,2562337695
4568821626,2790933078
5094605227,3015057156
5023123816,3430713051
5524869651,3653984655
4998092729,3775093711
5183867324,3589179589
5089401317,3350909736
4681424841,2982596016
4387125578,3026698406
4416148431,3139608828
4251961579,3079287369
4303794366,2836114844
4398585079,3048501599
4339964419,3276166554
4630228640,3079850623
4770130348,2845663971
3737292796,3246376872
4194290844,3694885812
3939803797,4066051816
4101663903,4327805167
4330737718,4941424147
3973047502,4453352539
3812550833,4428892550
3604974648,4146107609
3512314619,4043416317
3492732586,3858571568
3395285174,4075120544
3335757765,3742531937
3369268187,4035466286
3513482664,4037970422
3356822650,3875545924
2846186709,2395517718
3369401029,2025408212
3099648608,2382811570
3326646384,2548431562
3923317899,3119558439
3858707729,3208581945
3639427975,2987399442
3573272212,3363551589
4346822423,3319109897
4604778949,3672176455
4413652362,3631939150
4382220122,2716228773
4278220179,2757369782
3754794983,2578847660
3493657021,2672786085
3741854220,2705661124
2559712031,2259224992
3545394895,2024538589
3390879922,2248705659
3888835348,2401468797
4603706498,2683695893
4429055307,2697307377
4369809711,2545629580
4376653955,2640600241
5155115028,2642198313
5549660380,2724205275
4700225512,2603350230
4739958235,2552747895
4592263953,2449407760
4478471384,2575738966
4270059588,2449938334
4629565052,2378446296
4796187595,2496352756
5477853884,2870887396
5344373951,2951542444
6009946953,3315651439
5326854931,3358360246
5365826390,3202330026
5190713520,3034574887
4949494066,2765830021
4619371877,2677491344
4750486281,2736445129
4639419583,2664094373
4893870112,2462450815
4926184435,2464678575
4852227475,2640896054
5080014397,2578022954
4334710014,2914389779
4941052776,3280983262
4748581432,3533236934
5301729432,3762322843
4833088586,3981914160
5016795221,3806218944
4922811143,3458983935
4513296709,3102122258
4252091667,3198543712
4302001704,3271259470
4166030944,3313455874
4161302015,3008379042
4245883596,3201836668
4401494963,3255952168
4490498881,3254648562
2532597150,2358333126
2715303212,2293849220
3075999234,2970432320
3010361199,2444065656
4214144000,3503973214
3867271079,3140717200
3698339196,3064331842
3841662603,3154142049
4707316107,3034266365
4733251682,2932904827
4027689116,3025604565
4266665278,3069319940
4100777531,2914051344
3872804382,2909699985
4041402258,2688129286
4241331986,2554780748
3075753725,3964509429
3624376347,4222467600
3935803302,4847138075
4484662494,4531063780
4473818518,4610458804
4535486550,4197135876
4472781451,4008301728
3736769760,3601240901
3731052877,3831228192
3622797905,3776232647
3571416004,3967513579
3483260242,3514098784
3706466165,3905187868
3876494859,3713726930
3892117963,3700558625
4005529168,3684343976
2881316523,2388924855
3499079527,2063589107
3017808905,2215810307
3491683056,2469073751
3814416682,3008455284
3682608086,3182766031
3802803487,3357968058
3645537103,3170382134
4666559120,3068843665
5017889172,3165871055
3963222446,3038940347
3858602322,2958016672
3581715400,2986308438
3213883215,3226608877
3042720913,3359442998
3194599275,3466780133
4535883110,3065428457
4561956662,3264483368
4590124718,3404884752
4817155616,3637947500
4625198409,3602845129
4595887576,3517254750
4655095576,3265155600
4430942204,3248610207
4366025050,3479471694
4179622213,3365927776
4778284100,3485101348
4515860164,3170112843
4565126540,3140323239
4514790136,2890195662
4627766422,3164476256
3591343892,4143462986
3617926179,4169311837
3637807951,4208913477
3653853042,4322484782
3705463218,4543175275
3953634775,4003647527
3981995794,4041740838
3776262738,4035493654
3715006109,4147942150
3570403638,3978542361
3729350177,3983659440
3606324334,4208037578
3645408234,3925595157
3627707897,3791534115
3723903544,3846049861
3896044476,4209102003
2831702343,2200359244
3097751080,2070834343
2897048942,2693726429
3487909473,2953151593
3609117271,3006186297
3500753680,3226169887
3510044448,3429449124
3281206019,3440117451
3789909018,3621039195
3717655412,3814039650
3530324142,4392060735
3541327199,3706517110
3402341369,3556716191
3599375892,3489273567
3396798562,3306561880
3481098546,3083235865
3270771018,3391117775
3838284823,4029010878
3600297295,4539478347
3954605565,4752174753
3779434649,5241061951
3646988075,4508462133
3545286634,4855035105
3202432587,4691876455
3373651914,4360308621
3135579789,3894077587
3146141000,4403978087
3024195919,3795289424
3361755472,4119426335
3330002853,4239566701
3536225865,4245493428
3749214143,3392639091
3744732114,3097397984
3584224248,3314420286
3796087288,3189807066
4211424204,3543442563
4315051055,3824390345
4320289643,3870860623
4445437325,3767499498
4525060717,3593146290
4899043137,4306181635
5099311038,4235153054
4602585707,4104017656
4164196174,3504354843
3855077443,3142882352
3569989115,2829277217
4320536591,3509632347
4339960164,3533414781
4447493343,3794740826
4507882219,3842926762
4412124766,3542033445
4509121342,3491853238
4238865992,3405538349
4251533811,3658772251
3999804284,3518708853
4433835218,3602007074
4153211752,3595002898
4129814577,3519212244
4059348481,3312210559
4320012701,3582080485
4102681717,3717314057
3796824192,3506502824
2558468716,2261504738
3242629934,2404137847
2769077233,2506078980
2924347818,2846356010
3242103280,3473225699
3168306495,3891987748
3415510629,3667684194
3416881834,3731761796
4125369109,3487150329
4050118672,3735297149
3826590291,3938819759
3856029048,3471695098
3835337496,3043001747
3801874597,3162790668
3550565722,3097864800
3909058428,2777567532
4127750220,3214645292
4691610395,3327249459
4385616535,3638990704
4795198826,3949353660
4719920413,4309316126
4844132008,4141954812
4798606037,3680521432
4363406504,3273634867
4252242769,3319280579
4109230985,3271163110
4013183563,3409425267
3960133956,3072596283
4008045236,3409456006
4201202361,3576183709
4259287519,3297342296
4268320822,3453851686
