QuickThenInsert @ 30,QuickThenInsert @ 50,QuickThenInsert @ 70,QuickThenInsert @ 90
2586739672,2087033941,2058966358,2318630193
2766509395,2141107263,2368702733,2578178340
3706211929,3027225894,2948544011,3236026682
3416515034,2780092461,2407077791,2699486366
2972738362,2305652151,2216338988,2490154466
3058148017,2229222223,2110597558,2673137425
2728371787,2239130821,2268097238,2567650039
2703170221,2313881748,2232953913,2527972514
2855917857,2171942379,2258197082,2494810406
2494715306,2128237829,2214746837,2614125821
2416884081,2178574925,2128725920,2826826322
2445269647,2062869844,2068652201,2654569266
2594554290,2065054368,2168529467,2829305490
2529356475,2141812320,2113646965,2573221597
2493721220,2130864897,2134227569,2734307347
2528946302,2261158844,2278716933,2811313536
2327636698,2152649955,2182774951,2700967421
2473891024,2075188609,2094731984,2657632374
2581248114,1995661474,2209729569,2646099078
2525714428,2142907056,2014723488,2469277213
2588700736,2227383815,2212766213,2653130119
2566888057,2272284800,2131492108,2645380445
2435353114,2244261150,2020774505,2645717968
2352986655,2140787765,2088917412,2632388360
2522716460,2121223854,2131275934,2551508108
2608539864,2150800830,2186661103,2356021523
2693759712,2076011986,2094851217,2611336498
2695188830,1994678699,2114079602,2305941814
2859651867,2460202035,2232584401,2523516768
2779903682,2167627540,2205371224,2463246570
4371236513,3203772525,3272755492,3665885430
2769527811,2127176830,2031386532,2166898808
2367681794,2306114203,2130756076,2382184312
2355090222,2150140757,2166675652,2262723897
2279665583,2320929798,2231918681,2400121593
2634139644,2189561552,2156193863,2104716451
2185748624,2089402885,2179920556,2196462654
2259706933,2204251057,2140821037,2283592229
2453357687,2221189733,2160872696,2331424516
2799243374,2210997156,2184794312,2176332977
2328641619,2239211469,2122482887,2355542739
2611951100,2335741662,2429104683,2469448683
2733679194,2231550219,2159799915,2258459817
2426909981,2104840241,2262652044,2319393565
2391063906,2193144292,2224186076,1965044293
3433730676,3360635978,3381557173,4176357856
4169151131,3264212364,3218480043,4287332239
4203262267,3215841337,3214618266,4098097462
1941324494,1769816033,1758309272,4217533745
3775411051,3281900483,3295893557,4081828380
4022360436,3367690813,3280736088,4290141916
4277577475,3360723510,3284000143,3922293156
4251978430,3469622969,3572578163,4238912977
4266102289,3425882519,3501386813,4064072696
4024959787,3396503332,3309398701,4249135880
4104799326,3496212737,3378487651,4728847661
3932748226,3354158072,3404025532,4754810176
3988778058,3388418596,3572600991,4599620150
3854871474,3514397839,3527555633,4633181406
3449713353,3264099915,3195094784,4585979596
3618444866,3260772299,3371199434,3629719576
2205428449,2061370219,2205192451,2854167842
2169734997,2202185776,2155364106,2571070277
2166762436,2210506096,2280278742,2725579113
2151312780,2056732735,2234914058,2749803546
1992655972,2147652832,2114870245,2598044702
2105196304,1993432546,2044297628,2678491090
2113818685,2107478347,2081861781,2825360122
2197554637,2099057268,2089706189,2518909133
2082725694,2036527566,2083713007,2751387080
2150980669,2064440576,2041417331,2989886766
2169449412,2135104509,3433577162,2634923536
2049937865,2026742292,2163673619,2839966431
2281842548,2256637942,2137841814,2969123188
2164902712,2191774368,2074774398,2722299389
2230491976,2132211439,2115323559,2903216324
2066984831,2143177110,2071839013,2941040424
3464036746,3351305624,3314915127,4442035438
3920833700,3261773808,3208387142,4516065463
3851670000,3361648742,3250095069,4013510311
1799871842,1678709732,1715793372,4768098100
3927738804,3252836283,3315009214,4652284778
3823266351,3279893612,3265191255,4638889235
3622652425,3400252134,3334356892,4425499925
3965323733,3476739494,3585621929,4488222267
3722421984,3382589240,3413741951,4311288598
3991451385,3342168594,3362230617,4483830426
3817091366,3523007472,3095723510,4306521764
3995479992,3304250746,3402446044,4506123571
4138728450,3182123069,3418819735,4282328013
4106354465,3594680023,3262078056,4103778874
3713010933,3271430986,3457521821,4112307054
4065432330,3134370178,3329736027,3762912759
3415949889,3314491195,3148575631,4972095373
3475956892,3232769552,3088784777,4951068572
3378832295,3208247122,3347861708,3753925332
1743085249,1710967462,2077567995,4903863498
3372394569,3209271972,3391692530,4902075304
3573477639,3326644782,3308313969,4908494066
3484214767,3247514230,3498905321,4841721995
3637633587,3550321796,3546079388,4955469352
3563058260,3737702275,3546518998,4582106550
3596955040,3366825113,3492220512,4615337075
3478570110,3326528104,3711296503,4634059441
3481365108,3428412602,3581886918,4535756727
3440173130,3511808402,3507042738,4585332266
3749915314,3494474343,3609498773,4333288899
3223912679,3324789237,3494482264,4709753405
3371976491,3353019499,3149123637,4642725191
3636038836,3385795913,3298360141,4873263147
3147129695,3130228105,3320523244,3772596946
1754298112,1715046859,1960252456,4794413392
3581261495,3355445469,3351216748,4827038774
3602693352,3286358777,3348900089,4741792391
3622945091,3301795420,3429200000,4655745876
3658038466,3524759676,3553902584,4804856615
3555033674,3505703878,3402479193,4523891574
3742661459,3423188580,3392522999,4817586886
3545147136,3529600902,3323410595,4858638693
3872175590,3342337491,3385178968,4782080990
3839117813,3305134340,3422205352,4739813401
3742308432,3440572264,3473730403,4503844920
3455020047,3325734330,3500949552,4504779827
3427632468,3228477675,3409102528,3637780303
2795963494,2020386433,2056460081,2300514764
3440544516,3390553235,3137203151,3755193429
4548710671,3250733528,3304000409,3740541378
4767343138,3223731777,3290147110,3759675086
2540246939,1829336771,1768821659,3306942369
4674967761,3382071845,3255403120,3843523915
4531296899,3473771833,3168602893,3836850166
4464373895,3243607773,3050005991,3378631214
4711087245,3584820682,3464603913,3727592866
4935341955,3294209820,3703689864,3358892054
4603932419,3457195227,3400425636,3534775483
4717505572,3438289747,3265425275,3705146285
4734721105,3466426048,3526313697,3788339940
4635746850,3226653975,3330348239,3412292797
4735740640,3583448030,3502926725,3676275799
4243580103,3324120582,3352066507,3575039639
4765565323,3294299610,3404768194,3444035787
3362826389,2133110262,2151856718,2276045385
2517029529,2158341355,2183031026,2194719402
2443977390,2136616765,2172517457,2279477265
2529447629,2218657553,2249095726,2155698041
2429417357,2170198773,2196274725,2190086476
2534429555,2215921491,2236835262,2223579455
2201147699,2164922128,2127037544,2283306620
2456187929,2192500227,2153857202,2176021191
2463953999,2472301144,2152162769,2204317914
2430345107,2291693173,2184288570,2109529595
2407445496,2474319089,2373666892,2289881595
2598209261,2477074796,2255069661,2113646909
2458026604,2423281239,2256629808,2117657468
2367795412,2257111166,2285990026,2199897666
2831821465,2252108705,2183353436,2545562946
2822453634,2190442561,2194691142,2538048582
2882354395,2135139355,2183159998,2323457097
2780009511,2041993660,2105587357,2501279392
2707475120,2104987022,2139795648,2459768482
2797212596,2195315342,2162731410,2425953774
2816293493,2091233138,2158768903,2474316207
2733207484,2155431146,2174912555,2523103169
2713860214,2175357776,2097262304,2397517348
2801819405,2230361915,2130845929,2499658352
2769373099,2190509955,2204862267,2370372340
2636792962,2058041732,2023529643,2549947615
2605282992,2040180451,2161032519,2628584835
2903384287,2203700834,2209159193,2393383548
2781564713,2150979591,2160888799,2307283582
2136330315,1610920764,1687451408,2116821913
2696321590,1917129956,2169462334,2077142864
3071715748,2332942732,2399622386,2373891427
3659014777,2964867217,2949288595,3339781606
3950775022,2699879213,2393291429,2820828068
2888858199,2233791859,2276861070,2619536996
2696022725,2161066636,2079518172,2565759475
2863582653,2149558469,2160234218,2366524156
2735301137,2270457887,2184366395,2433627876
2828941474,2119338107,2185388538,2261847661
2811628230,2090691556,2272350735,2406086723
2671764133,2092551325,2040178984,2592765682
2715083074,2035020336,2069484218,2441955302
2881064122,2098185015,2143747389,2490363006
2816921457,2100397340,2200610377,2354265885
2693500180,2121739970,2187156228,2598058512
2910273034,2167208278,1999395841,2013663188
2747856604,1935451224,2199983649,2059298348
2606535388,2201060164,2170868864,2182904567
2819870009,2171137796,2063040485,2170443070
2776661128,2160972218,2137058570,2129869598
2845694814,2113536442,2071021292,2055613680
2656984850,2046661150,2143468545,2138583146
2857875205,2045217199,2054499441,2026669253
2495082726,2128818638,2105404798,2052941263
2809341838,2104452686,2103633938,2064082029
2965855335,2113674491,2236977303,3366576547
2637527687,1984792019,2027572071,2235051708
3017200505,2212719868,2209443455,2144560344
3118292536,2132529558,2121138216,2189500811
2791857391,2102681468,1996274523,2049493562
3044392550,1965795461,2113840638,2064288640
2752112055,2116049257,1944913905,2240087273
2694825324,1958455441,2049231090,2021060113
2810360025,2103343616,2143657184,2340466993
2681411900,2166244995,2156921438,2222811286
2782891632,1957851812,2089535968,2234176495
2708468144,2002124790,2001710243,2124554003
2841909205,2215541150,2077018765,2236772941
2703550103,1943416314,2126791134,2216980353
2771664759,1993493025,2163845170,2214029869
2732456586,2112002316,2160521783,2263569327
3424138342,2821925455,2410430996,2312790046
2849302189,2126414150,2055381070,2192015953
2972058063,2199254888,2253216783,2356056059
2532357216,2037016117,2135972876,2111429728
2846120261,2144722876,2064469201,2123309336
2827388097,2092094199,2158849998,2092188446
4269369957,3161252656,3411614301,3689082610
3079889083,2170495149,2138465206,2279602392
2194290042,2201218231,2161916532,2386128909
2349806978,2190693504,2177290800,2264609631
2194641220,2337523737,2266783146,2358066148
2312029187,2252471459,2138224545,2456235775
2292024673,2212893229,2157388018,2403040168
2151651753,2166838440,2145234957,2408743133
2469757659,2113981358,2181323426,2239627014
2437865939,2226195616,2251279023,2306222510
2526741760,2196314401,2310995037,2275003557
2383967849,2309016072,2325372704,2379200344
2361603012,2215301947,2133299666,2259860319
2412697922,2125417304,2152881052,2368966324
2432470488,2274869575,2252431590,2238616645
2784149770,1940445080,2067838305,2264485888
3345989920,3336752933,3216800016,3561003672
4790697751,3302974956,3383075045,3604063424
4830644095,3229986861,3284224547,3600098604
2868134951,1811604554,1720996461,3045315599
4922369345,3361158415,3190885771,3773843434
4702207272,3474816453,3215270713,3609937811
4694738797,3310142152,3390264567,3813504087
4561315152,3550817221,3590571726,3998313763
4705010323,3349264423,3675265658,3954596095
4425783879,3385831943,3452966304,3676482862
4322418477,3485091350,3270232728,3768112435
4678863875,3546601948,3543210355,4012346792
4445099185,3289499006,3488047823,3912453116
4542787087,3520268471,3312634757,3846270661
3971610236,3236968350,3451809305,3801858413
2960693500,2012096674,2071832846,2230842000
3308481230,3348653971,3297003166,3329182917
4970575650,3394900764,3206793796,3372887959
4969553905,3218536078,3198368330,3418965160
3257894368,1780471146,1749101687,2659053256
5051201631,3411207093,3146581022,3641062774
4887480118,3387834813,3237757982,3524278614
4862460937,3407373038,3199001167,3808467178
4616682159,3468053846,3413278213,3853929290
4798240189,3235931203,3409768020,3445077125
4334219617,3300556402,3357150781,3380157814
4765551445,3219524140,3274277481,3274423585
4825721034,3800510626,3424350133,3521399192
5057804600,3320427659,3275599688,3350518364
5024775863,3423807476,3408796563,3498815221
3338537041,3285214140,3356874233,3238967542
4943326725,3314954877,3202442266,3178199894
5138654385,3174603380,3200677353,3341603559
3565169297,1789437919,1767181560,2504121502
5159981172,3432765974,3046971055,3472001543
5025767575,3474863962,3263587173,3247429757
4877422516,3329196278,3177874398,3350922034
5013098930,3534153822,3548852824,3507183598
4947508175,3169024078,3538917554,3343605673
4717185622,3496658810,3304501775,3351042418
4876442661,3378310797,3585461187,3474824384
