BestShot@59,Library
3770158731,3432661778
3681171670,3374074610
3467780049,3217954090
3296145515,2998412936
3292764657,2926064259
3183265087,3367126757
3157942578,3266182052
2985813924,3101696870
2842772251,2864375880
2881338548,2785515605
2961744240,2943543378
2919754925,2661725101
2896595197,2961281042
3175695955,2992629094
3232448882,3193298977
3070857276,3376686013
3579503426,3346273077
3363850395,3779852763
3322426459,3490399467
3203300541,3200563380
3112390070,3073290516
3095224261,2619629849
3064877296,2688952782
3110439281,2806308859
3277733205,2755012072
3329817610,2809725969
3228127451,3025191524
3412808136,2921095493
3399907954,2936366170
3110541801,2733843909
3069576024,2774324287
3091996157,2684924924
3470214601,2935225950
3023616251,3075278096
3459544885,3140107800
3484184435,3059893520
3393515438,2952873622
3674512076,3066236647
3608732216,3504027900
3552780871,3158145172
3450719888,3181955850
3221402718,2742638274
2937900207,2920191684
3068287122,2673160782
3171742590,2646033716
3841975974,3360359184
3576573744,3056119906
3602138815,3196053828
3280015413,3036285388
3273479493,2902510828
3382697692,3038555237
2991391129,3056301339
2998021009,2679517826
2901421922,2751696571
3037737009,2952659399
3244436856,2883277492
3283926812,2923745625
3100974149,3059219362
3177764348,2956982586
3348322723,3195390188
3066140144,2982656144
3003345367,2846621767
3174003604,2755403866
3488828927,2932833676
3174562079,2920929480
3730918026,3180550280
4003116876,2985770039
4071274004,3732386864
4422825268,3449284217
3795055294,3200802658
3557800021,2671349772
3622883457,2643438077
3735118488,2792743791
3663245253,2613256159
3361265598,2561844291
3674811187,2893023233
3846288536,2951468553
4038290709,3289033390
3826022342,3104779108
3845241284,3339180766
3575027347,3093808667
3451403082,2898671518
2608081729,2980029000
2922820596,2637997785
2747848573,2611351060
2829960254,2777951233
2839323048,2825811307
2937373901,2796940755
2746918643,2760283638
3562841549,2895105437
3509501602,2822101789
3469858456,2696625270
3253920791,2770104610
3678504792,2513009105
4024829535,2902095149
4238976943,3391940593
4151158079,3093942926
4158834007,3628965377
3147156112,2975556853
3106221427,2582023470
3184027539,2544513092
3368233370,2767082226
3595898429,2620791022
3544144547,2669178187
3446320629,2899579267
3458275394,2879615476
3686283926,2788684531
3442409286,2600546588
3472550988,2490269633
3345044849,2577420979
3725128623,2858974056
3454804489,2733601802
3879560948,2887975009
4119266741,2708028583
3348866930,2827330898
3528237120,2798505920
3890859455,2922990462
3666861316,3156356990
3536034552,3180018866
3570348332,3014905939
3269921391,2664575404
3037575609,2776292465
3120791459,2588851322
3490183787,2722471050
4029787184,3143060896
3647077286,2945681951
3697845527,3061031639
3558110774,2960143222
3620958493,2956640898
3583806232,2810974470
4260087344,3491832263
4680613268,3310550699
3874493224,2912481971
3521772447,2630694097
3717851734,2536304842
3644704514,2490860494
3660143459,2944797028
3400262105,2673004779
3553379169,2859004563
4002293589,2939346665
4188346768,3291880239
4042233709,3005976335
3933578622,3162041669
3711045251,2838866520
3504461061,2763341493
2278927457,3200176161
3002525524,2690537892
3660343359,2496861426
3127411993,2523858993
3206474891,2583346648
3196134361,2511759430
3083249689,2579799192
3555874402,2398574219
3533109835,2736698978
3538638972,2610166770
3521206714,2777849748
3749409675,2453970372
4213856318,3087285142
4354543328,3357023256
4381651921,2889194065
4399541805,3275947969
2291321992,2833393410
2916409040,2707719908
2743531441,2812760988
2719080993,2925138481
2643186320,2817857873
2856917928,2820501779
2776507079,3101632979
3049024961,2639676087
3235678700,3042970387
2991276405,2882266760
3132648429,2940967704
3173756005,2963902620
3484807425,3383961602
3845815055,3667834999
3330181899,3969552520
3273768578,2926403002
3167755317,2545857443
2824747598,2396401817
2858844750,2603163858
3161097726,2595868108
3056687689,2453875571
2909546820,2630971690
3539457535,2355484588
3205485670,2705735571
3238498177,2867542988
3372089180,2855577728
3481644880,2875880484
3993824945,3318056142
4051642988,3373915825
3907233401,3219868883
3971358570,3661710181
2457540664,2865649476
2876290737,2646973585
3662456971,2640044610
2646135406,2439098724
2965450121,2641211122
3136346275,2828279067
3058204692,2651012317
3398442216,2411395814
3494232773,2783016021
3469696747,2692200576
3263862708,2802475172
3669007239,2774991054
4200813029,3073357410
4193105264,3349577410
4281980356,3089546866
3099369769,3174333798
3315444424,2550089254
3190924592,2479986161
3188966330,2551349545
3262853601,2490720860
3311708131,2530711084
3071662136,2538936923
3644391290,2309968835
3552851325,2793369678
3609039423,2490788947
3576448324,2782120437
3907812292,2399230741
4303161905,2944137560
4490191326,3228061591
4538497676,2789206283
4491427279,3181824609
3218138596,2625097022
3159108840,2463673700
2790353000,2459234142
2871544611,2769662104
2866472862,2600209056
2999357295,2686499795
2780106083,2766981390
3274121828,2449431553
3332887585,2991578372
3272003645,2711400192
3256024106,2712957163
3299568150,2896995419
3642478640,3235141954
4013870257,3457441457
3440951227,3577624655
3882069156,3747021719
3506236700,3954282877
3923181828,4007148482
3457191341,3686567755
3083043023,3155708264
3074276026,3102746319
3281272860,3244316525
3398979802,3151587718
3267057967,3178306649
3412180093,3145802813
3540443743,3144298195
3569164169,3625971282
3534691678,3668304306
3465166498,3914026776
3341724432,3195580677
3123689924,3113009852
3276953140,3017452423
