Lomuto,MedianOfThree
2372515555,3550664300
2455745066,3711543975
2402399678,3637004922
2606626272,3360642382
2459093371,3610129365
2434314961,3559858844
2392086315,3489861672
2542638697,3456331770
2516238484,3385081340
2272875121,2808374773
2237506651,3244435547
2395038528,3567152164
2369810762,3323098779
2446749537,3474169592
2478241255,3469725911
2400330091,3743414667
2747196647,4800505633
2597068317,3732554648
2500752375,3753245924
2504988282,3613628414
2462002449,3563491888
2471542456,3444646588
2483956012,3558785271
2377510190,3583205895
2500904148,3502187133
2451662625,3627347546
2978983973,4511761102
4035432270,5084434572
3639920316,5223931017
3957706419,4926338157
3592110406,4225480763
2914897916,3782258897
2827677207,3515558685
2690267069,3724479659
2761898902,3967777754
2648144506,4003524694
2584659795,3944922077
3027275389,5258117621
4177621350,5840713129
4420634301,6423934232
5159512567,5969032832
2566276991,3586740507
2522428246,3801175518
2694032646,3724692874
2637030158,4057529089
2889318829,4239152833
3066214026,4260226241
2791536943,4067362284
2858536347,3642855477
3000021957,3993986984
3199148981,4299139044
3017064680,4014268915
2977969726,3809389798
2810253924,3788091774
2689196062,3677814052
2825931556,3388206142
2661362557,3162061437
3225553570,3186726005
3132567044,2504862020
2026792329,1978856156
1839571055,2052826985
1943085643,2017123929
2052751158,2217058462
2020795534,2067713383
1847973173,2159953232
1883588996,2259747049
1917427198,2242650519
1954943010,2244638653
1954291476,2114131797
1894140001,1889201987
1872027490,2147503045
1913644540,1983465416
5893430228,4393645970
5360258005,3512010299
4283029180,3202261656
3921540945,2912935580
3609011303,2583128755
3575837983,2924532695
3646441866,2564954827
3682002523,2846005226
3471693771,2954727701
3418680718,2872172932
3778027454,2761957192
3833459139,2779772747
3930189439,2922209880
3913838167,2698284152
3519300724,2703106601
3681080659,2605972544
5462167093,5645601662
5204833842,5214948760
4351050199,4116535639
3622859799,3753959191
3306572643,3406377698
2968682565,3217896324
3080107374,3538264640
3095537598,3195157895
3305799288,3326632994
2832042658,3362531580
2996990991,3547368762
3044277351,3513738491
3107192207,3424459342
3257522599,3635218709
3140706126,3145249220
3097564200,3290236115
2953595533,2449266125
2033774444,1959106519
1868189636,2079869054
1924465050,2045085479
1973981614,2230672947
1996678049,2071866633
1894328463,2119423236
2020021453,2261728386
1940224114,2241672922
1914836803,2274979891
2029405366,2129842759
1816333596,1877633049
1834404723,2157450437
1866171293,2012170798
1944592317,2026386164
3333093746,3057534305
3308720162,2560106775
2124036060,1985175728
1819379310,1831393669
1951836218,1938336069
2019237717,1957122499
1940794595,1906936896
2039838949,1869947863
1903588762,1984586514
2005259059,1926340140
1943445395,2024578108
2053463385,1999851236
2059941097,1903928038
1950064976,2217676879
1939321304,1966997776
5213159162,4953480320
5881776537,5404921747
5393484617,4883808428
4676755186,4002745758
3892300169,3521245883
3456723242,3107772024
3217783112,2975030364
3351358978,3230735001
3479063008,2986196983
3423525912,3029257134
3038878513,3344004803
2984288918,3322364468
3396819210,3218814587
3435770390,3211138640
3480492847,3425993182
3267909715,2975053859
3500387492,4347847951
3274274056,3987714501
2851800098,3645265784
2619916245,3471930694
2827347334,3640685249
2759875250,3776652245
2823348080,3507828026
2781855552,3590018828
2744926968,3877966461
2606263011,3895917093
2833113149,3764537666
2915563780,4045666449
2764184174,3640829665
2783310999,3595024765
2786411983,2286948179
1809848988,2112577420
4917528056,5435614166
3836777776,4293989440
3484753030,3900582483
2985992691,3565891690
2704141448,3400156693
2916060457,3672199635
2746404356,3460351409
2819585402,3379109910
2833046515,3478376577
2810214333,3806233415
2869178872,3728700142
2875713107,3519920282
3088434277,3910542791
2893533074,3462675550
2872718208,3496993671
2879557493,2323101109
2581694551,3411190365
3040628900,4128745952
3873976210,4910038593
3758353569,4046295983
4396979509,4373364016
4219681760,3794428662
3496140193,3322417990
3064647687,3493942046
3085375043,3058906355
2940214063,3285369947
3191315514,3238321634
3500454133,3117820154
3554346537,3879793667
4617259529,4911586932
5182248397,5342459988
2608071198,3443594619
2723903162,3596489285
3013341634,3435073223
2863419706,3781659707
3202471343,4050042696
3229492010,3973633931
3086637139,3783192753
3280505996,3552552560
3254102705,3958311423
3252502061,4121860196
3279034505,3935989885
3131105242,3873249194
2905244369,3624998115
2830002959,3495697522
2926690068,3395664688
2662283034,3052067384
2165366336,2692276231
2128883408,2710124043
2639387454,3043430084
2717966247,2908331379
2620592753,3031035024
2964542750,3216128738
2644144676,3451063132
2689444923,4429616322
3082299750,3511581914
2867319654,3520021336
2785692616,3386189701
2567504885,3395614320
2707119771,3158680577
2607368346,3340844142
2626174594,3290722393
2647934138,3286198471
2719910338,3298846800
2735299832,3172589651
2667259574,3332316170
2777545641,3145952386
2666746308,3389490828
2742160335,3257493352
2735764448,3308594329
2658334798,3515058478
2749597547,3305817428
2834604500,3359897170
2724029919,3280204490
2723264092,3302095666
2796322496,3397486741
2766291587,3317068576
2683647365,3383495282
3230836480,2657642624
3137796102,2649299248
3165179621,2660643937
3361940380,2631939982
3314810816,2564622447
3401441100,2417993948
3231509759,2376466208
3521447331,2650398261
3571404655,2697171044
3457371058,2539524242
3287437557,2639680401
3471601699,2600209545
3337527210,2597542822
3388947005,2617126896
3414597632,2676937981
1957857444,2418010031
2270201651,2452104043
3159831027,2849507115
2855952992,2710096896
2872508986,2758697392
2967504972,2633040303
2967296749,2653196744
3318236178,3420135004
3976622261,2784410498
3335149500,2934459707
3292207289,2872782821
3219281097,2685562984
3181276499,2753181796
2982629927,2649733821
3107240758,2593304566
3256052374,2801772481
3218474078,2520463017
3687602697,2927871737
4991714233,4028786826
4571120529,3749454786
5061344937,3835994021
4655522656,3555878498
4084670972,2891623588
3626283275,2830009892
3776353138,2747379895
3635582497,2822875996
3766798316,2713036850
3916041348,2869256008
3853716728,3186874262
5289708195,4028254054
5845812639,4480639519
6312762758,4945912720
3430029722,2572516981
3535315757,2597809033
3816741673,2669745939
3737009853,2821551329
4010991610,3055339225
4181068311,3274407109
3954298275,3070573555
4058038096,2943761667
3862163755,3206753472
4145920082,3329645634
3946978868,3199874199
4027424919,3088927763
3836858624,2804316753
3761125091,2786367880
3711954088,2633362584
3527695023,2726811924
2958109109,3170055611
2927461901,3181589809
3367173645,3108504197
3302214790,3328456279
3633766688,3544143952
3721057380,3642567941
3525604131,3502651431
3688709250,3232022557
3530107144,3413692293
3675234956,3696495189
3625161151,3521137531
3608250705,3506790516
3422195472,3187937868
3270231865,3201848902
3377677290,3011471064
3211097096,2874735594
3203865209,2950772267
3600215196,2848741319
3521412271,3025930422
3790478012,3213172874
3952784929,3329994654
3865668383,3263600792
3979686183,3024190245
3813261598,3140629187
4175625442,3397875497
3919873109,3316836708
3926464981,3241189037
3662041765,2914373234
3587129498,2947070351
3662483221,2741066505
3481565806,2689816453
2027644631,2356587690
2390765507,2505397323
2807825208,2531491913
2988115952,2487371111
2954546410,2696114219
3200911131,2781801924
2807640917,2985101010
2965775658,3346653303
4012873900,2980541906
3282275159,3198731134
3100947096,3070366690
3143194354,3196314890
2878026195,3010416926
2838878789,3194686346
2826914530,3079540195
2828386963,2827891500
2946913908,3002123975
2958555241,3005335768
2755882373,3153172156
3033116394,3022283210
2773790062,3050388002
2967441906,2863751158
2969641477,2984854554
2893661804,3021758578
3151049875,2962230521
2889446937,2914017648
3025777067,2802082994
3099840678,2907345321
3232814646,2928936674
3177332701,2832087637
3265100654,2869293620
2539506238,3733337087
2748952710,3575310670
2786476819,3968670524
3007292729,3999875849
3302627560,4191419813
3018231045,3969194864
3138326758,3644244461
3064318679,4159901040
3148746987,4340804610
3043786537,4178640572
2893439001,3961664445
2595660326,3924344810
2599029195,3806436906
2673047219,3671849101
2493631921,3236850591
2577830639,3422275624
2724008567,3239746021
2576466973,3418476498
2681127419,3230303977
2658896142,3436729154
2687624516,3314193142
2576239957,3437838664
2654184991,3511185464
2792626898,3429460586
2600463688,3367021944
2709296900,3354997197
2660329641,3435475189
2651346226,3574850499
2623721371,3405316576
2748665343,3288938706
2471468386,3407809980
3079088962,2864728233
3201609127,2815267076
3094382336,2991320679
2801525525,3031868515
3139439807,2947935097
2930998860,2993691005
2974726744,2750477558
3083050549,2804479407
3182733110,3126655601
3062998840,2851400968
2961287195,3148670890
3016618850,3043994676
2898905297,2973591836
3107235112,3049088224
3054979848,3134967056
3069490864,3114900188
3296987376,2736406256
3403376098,2724957585
3634285695,2733726509
3534862148,2554397013
4189673507,2856657263
4236466676,3142203062
4135989476,2932689188
4159145205,2811446185
3874060706,3027319868
4210071055,3124306816
4264257979,3091817998
4248418780,2907605704
4024492002,2726397109
3886390601,2668713769
3829911776,2646469697
3634873419,2576206807
2546184275,2138492772
1740971154,2145545993
1782555965,2088565892
1866453270,2129535766
1886904332,2440659004
1839014568,2175190337
1843237066,2276046064
1944855636,2374901395
1859599122,2345877751
1948214118,2365490057
2163685550,2061861129
1900855746,1989025506
2192614205,2052747147
1900228320,1875936283
1969699407,1850291163
2958966368,3467857999
2782822167,2394111811
2034755179,2184074712
1799358059,2059354798
1956477973,1959813434
1908054870,2208122717
1849143262,2054527258
1845917696,2138691472
1886717445,2247206078
1908000333,2257787604
1950157913,2222855293
1962449461,2106169173
1894165390,1894351091
1827728063,2160600047
1883080248,2018866799
1980607418,2024763953
5335935293,4779251604
4849531134,3812941880
3965620111,3200468126
3584655696,2969731423
3373566406,2658499472
3531924672,2985417814
3592471125,2744715952
3758711925,2882514080
3330520234,3134291056
3313837736,2991097201
3439228737,3075921917
3545226580,3031177931
3642847821,3308762057
3570305566,2894523615
3389473841,2920095539
3352150225,2419047440
2227277968,2002687017
2041912510,1838894119
1964660951,1942405656
1942732758,1961926650
2000674586,1916403923
1891754472,1888549565
1929712174,1994530349
2029106608,1925957478
1936555581,1987279879
2117078455,2006190295
2045135735,1898235899
1930553605,2205096061
1961179620,1971206458
1913032115,2043238407
1776941026,1878688088
3322239381,2530864297
3436326764,2789011762
3052805169,2838242271
3390847885,2800167292
3012910597,2836291796
3026700359,2398057719
3451254804,2574044158
3241213671,2722503246
3474178420,2763660044
3359390972,2870916871
3175263175,2983587636
3013091583,2952702712
3150667342,2966603747
3100380534,2950365252
3146946583,3058501981
1951749542,1828983298
3044127176,2063357115
2787362917,2443344533
3267752227,2324581839
3211810677,2400933754
3399020247,2422643315
3438353425,2465605560
3680823818,3138521387
3996535993,2685411374
3552813202,2669925179
3466459244,2736068504
3330188983,2678117582
3330591233,2569282581
3232185475,2590754126
3325128946,2547175724
3284890388,2528832892
3129385396,2717495424
3575799251,3379134206
4679427459,4348989921
4385336499,3951128712
4937349541,4300253989
4486104139,3617225005
3788728465,3060560647
3420138714,2983386455
3398001695,2902366353
3411015971,3086313034
3505089115,3069757807
3704030144,3026755962
3638067361,3637476589
4769255834,4448853972
5376171054,4851229173
5813555714,5439801823
3085075599,3070642980
3139337813,3140894701
3321414215,3029328593
3417189278,3160352481
3750365978,3417240789
3823715609,3596219461
3636388311,3348377433
3872546799,3098221166
3740569195,3259407505
3911223202,3534936464
3681116057,3417043231
3827378807,3331824032
3574611657,3085451366
3435671037,3032193071
3415725756,2882269398
3306347185,2735124845
3254480449,2774703285
3151769644,2763680731
2898462425,2896321984
3091970268,2659169128
3133111907,2691289473
3326464648,2608578623
3330924443,2632818713
3286261856,2870148438
3255082289,2954745906
2985195539,2729898417
3265808678,2696728160
3330996564,2750884553
3257425535,2811489390
3280661042,2747128184
3330657063,2803936110
1948133873,2158191087
2483004077,2821862460
2661009131,3175089549
2507804297,2791977743
2728499021,2899535225
3010683384,2993031061
2833388254,3189463709
2906712714,3940749631
3348400399,3066882313
2788456957,3030017818
3114558120,2992607793
3010701132,2887206974
3082236119,2600693946
3154751557,2908991114
3033862648,2780083013
3218380914,2865853783
2129747687,2580495724
2591869786,3025644464
2497520804,3481651083
2378996922,3158151256
2311740376,3028610763
2518736062,2681109499
2852933847,3067647339
2993073032,3844681272
3547853723,3426439433
2943329473,3297316870
2798205972,3147267140
2685482980,2987212929
2997820925,2753035457
3011140945,2963569185
2997385489,2887866833
2224805535,2811845761
2151538424,2793308103
2491223640,3057440374
2604865635,3043063401
2592439740,3310458491
2638859055,3289875775
2598765097,3574636381
2682127434,4682891620
2779881541,3564858915
2701480053,3632489188
2695496584,3367350401
2540409925,3416159474
2663439354,3287500958
2606460769,3496268329
2559309438,3448878085
2610141266,3250886013
3161649946,2760165846
2976841552,2917951688
3467605209,3611227812
4477114092,4573188604
4213821080,4131593154
4671099229,4243122358
4397560913,3611646609
3663677870,3221026111
3306293827,3080404461
3362439196,3085724078
3451961219,3394005372
3124531725,3597854809
3150235261,3387733515
3158771817,3998942438
4006882518,4572362584
2572830956,3913477287
2755819206,3688481162
2549938423,4077005266
2620156546,4356792601
3052331460,4209674874
2925041217,4213844199
2759951911,4005967953
3023676854,4207119247
3033644298,4407732275
2870153868,4323158769
2671724484,4090174797
2547923139,4104022873
2483276733,3928182194
2638886681,3676803004
2487758202,3335462439
2375755716,3969825125
2221676665,2982546108
2234627917,3050183263
2403349404,3483803004
2320201675,3216210176
2522948976,3378009311
2552025615,3380035728
2569155605,3573101758
2619516422,4875305411
2707158268,3670982121
2600354796,3723580195
2618277183,3614914496
2473124351,3474843296
2579536927,3365852114
2555585405,3482965588
2530362256,3535052571
2565194084,3347803651
2533209105,3461418476
2599785574,3278680299
2543909651,3509118588
2547682445,3344666366
2459036268,3524217717
2586959474,3470969393
2563441366,3562216804
2533997894,3630365883
2512513134,3517294162
2607293399,3562414097
2430525910,3392576958
2507894183,3387599119
2580979902,3613649000
2673245891,3461668597
2676792937,3358180204
2546927609,3474122926
